speaker,text,onset_time,offset_time
C,So should we try try to do a right-click when you then,369.33,371.68
D,go Yeah Alright Why not,369.90,376.14
B,Yeah,376.27,376.27
A,Is that just from the main,376.29,376.89
A,main window Is that from any particular window like if we wanna sorta get like if we were on the users versus like topic or something have a right-click from for these various things to yeah,377.91,387.72
C,Sorry,377.93,377.93
D,Even if only one thing comes up,378.12,379.22
C,Yeah,385.70,385.70
C,Yes Wait Yeah there's a second thing about the topics the topic window We wanna somehow,386.86,391.89
C,click be able to click on a topic and it pops up with all the meetings that contain that,392.98,397.42
A,Right yeah Yep,397.67,399.03
B,Yeah,398.18,398.18
C,Yeah So we could do that in a similar way do it right-click as well And to have a different menu for our,398.59,404.56
D,Okay So and,400.01,401.62
A,Okay yeah,402.28,402.81
D,so this lot is for um,402.96,404.37
A,Now it's consistent throughout So yeah,404.26,406.55
C,Yeah,406.15,406.15
D,On the t speaker,406.91,407.39
C,So yeah,409.63,410.36
D,And then this lot is on th,410.33,411.48
C,we have basically two options of of browsing the meetings is by either,411.47,415.44
C,um searching and opening,416.92,417.97
C,individual observations And when then we have the interlinking by right-click basically,419.33,423.66
A,Right,424.58,424.58
A,Actually yeah like um another common thing like if we have it so it's set up that um if you double-click and it goes to a default thing on the menu I mean that's kind of a typical kinda action that would happen If you double-click on a particular topic or something then it goes to sort of a like a default,426.11,439.22
C,Double-click Oh,435.40,440.70
A,view so it'll be like all the,440.78,441.88
A,um cases of that topic either whatever we decide the default to be whether it's in all meetings or just in one meeting and just show up the the particular instances of that topic,442.90,451.28
A,in a meeting Like I'm just thinking to have the default there so if somebody knows exactly what they wanna do and we know that that's the most common thing that's gonna happen so the double-click will do that and so save them the trouble of right-clicking and choosing the item on the menu,452.29,462.40
C,Hmm Yeah,452.56,459.07
C,I don't see there's anything obvious that was that would be able you know that would be,462.79,466.65
A,Well it might come to us as we start playing with it,466.05,469.23
B,Yeah,469.41,469.41
D,What was that I didn't quite understand Do you mean,469.52,471.30
A,Um like we have the the right-click menu You'll have the menu right-click it but instead of like have a default double-click so if there's a de so it'll be a choice from the menu but yeah exactly,471.44,481.23
B,Uh just let th,471.86,472.47
D,Yeah,473.68,473.68
D,Oh so and it figures out what's the most common,478.21,480.71
B,Yep Yeah,478.66,481.62
D,use to double-click,481.76,482.31
A,Yeah,482.53,482.53
D,Oh Okay,483.42,483.63
B,Like I don't know show the speaker characterisation,483.70,485.13
A,Yeah,486.08,486.08
B,for instance Or I don't know,486.30,487.67
C,Yeah but then then there's the problem with a lot of windows popping up again And they pop up without you even being quite sure what it is you know what I mean,486.35,493.67
D,Yeah,486.57,486.57
A,Hmm Yeah,491.57,494.70
B,But if you do double-click on something don't you expect something to happen then,496.26,501.72
A,Yeah,496.88,496.88
C,Yeah maybe Mm Hmm,502.78,504.18
B,Sort of well I don't know,503.47,505.12
D,Sometimes you do it by accident though You oh go away Stop coming up,504.56,507.80
A,Yeah exactly Well then they close it Yeah know it's not it's not the end of the world,506.86,510.87
D,Yeah,509.01,509.01
B,Yeah,509.48,509.48
D,No,511.26,511.26
C,Especially if you have a touch-pad It,511.77,513.19
D,Yeah yeah oh yeah T,513.64,514.84
C,just goes,514.44,514.66
A,Yeah,515.60,515.60
D,throw stuff throwing out the window,517.19,518.33
C,Well I'll I'll check what it does on on um double-click at the moment,517.63,520.90
B,Yeah Yeah,521.62,522.56
A,Okay,521.78,521.78
C,'Cause I think it might do something But,521.98,523.54
B,uh that was good start,523.60,525.08
C,but yeah,524.86,525.11
C,mm but I don't I don't I d really don't see anything obvious that that would,526.55,530.33
D,Yep,526.91,526.91
C,I mean if you can think of something that,532.32,533.47
B,I don't know,537.17,537.46
C,Sorry,538.68,538.68
B,I guess it depends on,542.34,543.21
B,the,544.27,544.27
B,Yeah what you're clicking on Obviously,546.29,548.23
C,Sorry Um yeah another thing,548.61,550.71
A,Hmm,549.83,549.83
C,Single audio files,553.68,554.40
C,Do we wanna use them or not,555.55,556.39
D,We don't know yet do we I don't think Do you mean the single channel,558.63,561.18
C,Yeah single channel that's single channel files Do we want them I mean,561.75,564.88
B,Single channel,561.93,562.18
A,Mm,562.59,562.59
D,Probably not but we might need them for disfluencies,565.81,567.42
B,No,567.01,567.01
D,if we try do it in audio But at the moment no But,569.14,572.56
C,Yeah okay yeah yeah I we might use them while wo to work with them but do we wanna integrate them in so that when you browse you can here's,569.35,578.00
A,yeah,570.79,570.79
D,yeah,574.52,574.52
D,We might want to be able to say oh just give me what that person's saying,577.91,580.58
C,Do you though I mean it's not gonna make much sense if you don't listen to it on its own d do you Does it,581.38,585.44
B,No,581.94,581.94
D,Unless um you can't hear it properly or something Somebody's talking over somebody else or something Well p,585.06,589.70
D,W we just say no for now and put it in later or something Yeah yeah,590.95,593.81
C,No hmm Yeah Yeah,592.90,595.97
D,Yeah 'cause otherwise it will the it will increase the amount of data we need by a lot won't it Therefore print will be bigger,596.80,603.17
C,Yeah,601.54,601.54
A,Mm-hmm,604.34,604.34
C,Um,606.79,606.79
C,Yeah wh what do people think in general about the windows cluttering that he's mentioned Do you think do you think it's really that bad,610.05,616.04
A,I think we probably need that though to have the f the full flexibility we need to have that there but um yeah,615.39,620.39
C,That's what I feel as well I mean I'm I'm very much I w I wanna have everything,619.07,622.81
C,customisable,624.01,624.01
A,Mm-hmm,625.10,625.10
C,Um,625.66,625.66
A,Although the thing is typically though is someone gonna have five windows open at the same time probably not Probably just two or two or three of whatever whatever they're looking at like dialogue acts to whatever characterisations,626.35,635.81
C,Probably not no Yeah Two or three maybe but yeah But yeah it depends I mean I I really wanna put the summary in somewhere you know And the summary for example is typical You open the window you read through it you might click on you know close it again straight-away,631.00,645.29
A,Hmm,639.89,639.89
D,Yeah No I think it's I think it's fine Yeah I think what we're doing is fine,646.21,649.40
C,But it'd be good to there,646.53,647.47
A,Yeah true,646.58,647.11
B,Yeah,646.99,646.99
B,But uh well couldn't we I mean you probably I don't know if you wanna have like the the full transcription and the summary at the same time,648.34,655.75
B,So maybe you can just like choose the s same window for transcription and summary,657.56,662.88
A,Hmm,661.99,661.99
A,So like have a tab there For something like that choose on choose one,663.63,666.29
C,I was just thinking of tab,665.01,665.79
B,Yeah Yeah Tabs are nice,665.32,668.30
D,Yeah tabs are good Mozilla style Yeah,669.14,671.05
B,I like tabs,669.42,669.68
A,Yeah,669.47,669.47
C,That true Yea yeah yeah yeah That's right I'm not sure yeah,670.15,674.51
B,Yeah,670.89,670.89
B,I don't know how easy it is But I dunno but,674.88,677.81
D,Does anybody know how to do that Or can you do that in Java I don't think Java knows how to do that really Maybe yeah you probably can But but,675.17,681.21
C,No,676.27,676.27
C,I don't know Do you reckon,677.74,679.01
A,Oh you be able to,677.98,678.85
C,I'm sure,680.28,680.41
B,Yeah,680.74,680.74
A,Yeah,681.34,681.34
C,I'm sure you could do anything,681.45,681.97
D,If you really knew what you're doing But I don't know It's,682.94,684.60
B,Yeah,682.95,682.95
A,Yeah,682.97,682.97
D,a bit of a cripple with Java's windowing tool-kit The eight is sometimes,685.80,688.59
D,it's a bit of a cripple,689.69,690.15
C,Hmm,689.73,689.73
B,Yeah,690.97,690.97
C,I can have a look,691.93,692.43
D,Yeah,694.14,694.14
B,Yeah Or just I don't know,694.84,696.18
C,But yeah that that might be an idea yeah,696.94,698.42
B,Yeah uh change the,697.23,698.47
B,contents of the same window like from transcription to summary,700.13,702.95
D,Yeah yeah Yeah,701.78,704.35
B,Probably yeah Hmm,704.53,706.29
A,Yeah or even just have buttons on it toggle buttons or something on the tool-bar for that window,707.76,712.24
C,Hmm,713.14,713.14
A,Just something,714.44,714.56
B,Yeah yeah That could probably,715.98,716.92
A,A lot of different ways we can do it it doesn't doesn't have to be a tab or whatever Just gonna be yeah Yeah,716.04,720.58
B,No no it could be like transcription summary like two buttons and you just press on which ever you want,719.03,725.44
A,Yeah Exactly,721.89,722.15
D,Yeah,723.91,723.91
A,Or check-marks Even have two of and send,725.07,727.21
D,Yeah that will reduce the number of um windows we needed wouldn't it Which is quite good 'Cause otherwise Photoshop has a lot of windows if you ever use Photoshop it's got loads and you're always g forever going no get out of the way There's always stuff in the way isn't there So,726.15,738.15
B,Yeah,727.19,727.19
A,Yeah Yeah Yeah exactly Yeah,728.66,737.85
B,Yeah I don't like pop-ups,739.06,740.33
C,But I mean people get used to it I mean when you use a Windows,740.42,743.12
D,Yeah,741.39,741.39
C,or Linux for that matter you have a lot of windows open And you manage them,744.29,748.44
D,You do yeah,747.77,748.11
A,Mm-hmm,747.85,747.85
D,Yeah,749.38,749.38
A,Yeah True,749.45,751.80
D,Yeah,752.05,752.05
D,Unless can you I don't suppose you can minimise them and stuff like that Can you can you do that,753.52,757.59
B,I that yeah,753.87,754.59
C,Yeah you can minimise 'em Yeah yeah,756.37,758.01
A,Oh yeah Okay,757.87,758.40
D,Okay well it's alright then Yeah Of course you can actually yeah it's got everything,758.88,762.50
A,Yeah Yeah like a lot of these can be like once we get the disfluencies out then we can you know have transcript without the disfluency transcript with the disfluent disfluency Have all these you know have these sort of using the same window and so we can a lot of and probably mutually um whate,761.36,777.03
B,Yeah,762.35,762.35
C,Yeah that's true they're they're definitely,769.72,771.10
C,Yeah they're definitely gonna be in the same window yeah,773.12,774.77
B,He's close,777.78,777.91
A,distinct yeah Exclusive yeah,778.10,779.17
C,Exclusive,778.22,778.22
C,Yeah that that was the plan for the disfluencies anyway So d,779.61,782.56
A,Yeah,781.91,781.91
C,Yeah do you wanna do that with summaries in,784.05,785.56
C,Put the summaries in in the same window,786.74,788.79
C,Mutually exclusive with,790.24,791.20
B,Yeah um well,790.78,791.57
B,could uh I don't know Would transcripts,792.73,794.10
B,uh b sounds reasonable to have like transcripts like maybe three alternatives then Like full meeting meeting without disfluencies and summarise,795.29,803.26
A,Hmm Right,795.73,800.36
C,Summary Yeah you wanna do that,803.21,805.04
A,Yeah that kinda makes sense,804.47,805.57
B,Yeah,805.91,805.91
C,Yeah,806.36,806.36
D,Yeah sounds good,806.87,807.38
B,Um yeah,810.37,811.09
C,And finally the prototype he spoke about What kind of prototype could we produce,816.58,821.81
A,By the end of February,823.08,823.47
C,Because I'm I'm just you know I go into the lab and I say right what am I gonna change today You know And it kind of just it just develops I'm not aiming for anything,824.27,833.93
A,Okay right,829.31,829.57
C,Do we wanna aim for something,835.21,835.99
D,Um,837.78,837.78
C,I'm I'm pretty much getting there anyway to be honest It's not it's not gonna be a lot more work,841.51,846.33
A,Yeah,844.91,844.91
B,I guess it is I mean just to try it and I mean for us to to be able to do something that we can include with your thing so so eas yeah Yeah,846.63,856.03
A,Yeah Mm-hmm Yeah,854.58,855.85
D,Yeah that's what we need yeah Something just slightly more than just that on its own,854.70,858.63
C,Oh Hmm,856.50,858.47
A,Yeah so we can plug it in and,858.54,859.67
B,Yeah,858.82,858.82
D,Yep,859.83,859.83
B,Yeah Just so see the integration works sort of between the different compo,860.08,864.43
C,Mm true,865.12,865.32
D,Yep definitely,865.36,865.91
B,Um,866.84,866.84
A,Hmm,868.45,868.45
B,So I guess that's what we need to aim for,868.88,870.69
D,I think that's kinda as well isn't it really Seeing it seeing it sort of start to do stuff rather than just be,870.94,875.94
B,Yeah,872.78,872.78
C,Oh right I see Hmm,876.35,877.24
A,Mm-hmm,877.67,877.67
D,a prototype with a GUI,878.02,878.82
B,Yeah Well if I guess I mean that was probably our intention but we might not have written it down So I guess,879.32,887.28
D,Yeah yeah Yeah,886.42,887.21
A,Hmm,887.36,887.36
B,I know Yeah,888.40,890.84
A,Actually is the code accessible like the the GUI stuff that you've done yeah Like can we just like copy like the latest stuff out of your directory somewhere Or Like if we're gonna just try and like take a look or something,891.97,902.76
C,Um probably not,900.41,901.91
C,I don't know can you access other people's,903.34,904.66
A,try and just plug some stuff I think you can if,903.80,905.80
D,You can make it if you make it world readable then anybody can access it,905.04,907.72
A,Well if you just tell us the directory and just make the file readable then we c know the directory to get in then and just,907.32,912.41
D,Yeah,910.51,910.51
C,Yeah sure,912.45,913.27
A,That might be might be an idea,913.62,914.74
C,I don't know if it's readable at the moment but you can sure have a d have a look,914.52,917.05
A,Yeah think by default they are I think really Or,916.51,919.85
D,No uh i i it no they're not world-readable It not the default they're only default then only you can read them by default You can see them but you can't read them,916.83,925.28
B,Yeah Alright,918.33,920.16
C,Alright,923.63,923.63
A,Okay,923.82,923.82
C,'Kay Right well I'll make that readable then,925.57,927.46
A,Okay alright Okay,925.65,927.86
D,Yeah,927.99,927.99
C,Um so the directory is my number,928.84,931.95
A,Or you could just email to us Okay yeah yeah okay right Yeah right okay,932.61,936.00
C,Well this is not difficult,934.69,935.26
D,What's your number,936.42,936.75
A,Okay,937.35,937.35
C,It's in all the emails,937.81,938.51
A,Yeah,939.19,939.19
C,Not O_,939.53,939.72
D,Okay your number,940.00,940.69
A,Yes,940.50,940.50
C,four O_,942.88,943.25
D,Okay,943.95,943.95
C,four five five five six O_,944.57,948.83
B,Say that again O_ four,949.81,950.51
C,O_ four five five five six O_,950.76,952.47
D,And then it's,952.96,953.31
C,And then um there's a folder um N_L_S_S_D_,954.93,957.43
D,N_L_S_S_D_,958.83,958.83
C,and it's called the M_ browser,959.54,961.35
D,The M_ browser for meeting,962.53,964.16
C,Yes M_ for meeting,963.72,964.93
A,Lower case,964.04,964.24
D,Hope you hope you never have to look in my directory It's just pure chaos S,966.06,969.96
A,Yeah,967.58,967.58
C,Really,970.01,970.01
C,No I'm I'm extremely organised you see I've got folders for everything I love folders,971.37,975.44
B,Oh yeah,975.61,975.80
D,Mine is serious chaos Files everywhere,976.15,980.44
B,Mm,981.48,981.48
A,Hmm,984.87,984.87
B,Okay,986.33,986.33
C,Yep so that's me done Someone else wanna talk about their stuff,986.53,989.08
D,Don't all jump at once,991.94,992.57
B,I could tell you what I done in S_P_ two,994.49,995.96
D,Yeah,996.87,996.87
A,Right,997.53,997.53
B,Oh um I don't know I basi I s started like browsing a bit just like,999.98,1004.74
B,trying to see if there's anything out there to use s sort of um just,1005.91,1011.22
C,Mm-hmm,1009.94,1009.94
C,W what where you doing again,1011.41,1012.36
A,Um all the searching stuff the the in inverted file stuff and um the next search query and all that Hmm,1012.90,1019.40
B,yeah searching yeah well yeah We're doing the Yeah yeah So it just,1013.08,1018.16
C,The search okay,1015.18,1015.69
D,Yeah what was on it,1015.80,1016.39
C,Okay,1018.98,1018.98
B,found a tutorial but i inverted search in indexing but I haven't read it yet But,1019.43,1024.59
A,Yeah,1022.55,1022.55
A,So you could just use that code like that was behind the question she asked him earlier Just You know the re-using code and stuff was just like okay,1023.57,1030.30
C,Indexing,1024.28,1024.28
B,Yeah,1027.14,1027.14
C,Oh,1028.17,1028.17
B,Yeah,1028.68,1028.68
C,Oh right Oh that's pretty much there is it,1030.11,1032.12
B,Yeah,1030.96,1030.96
D,Oh you found some code for it For the inde,1031.00,1033.16
B,Yeah well I don't know if it's usable I uh can have a look th at it But but I found some code for like from a tutorial about i indexing Uh whatever Yeah,1032.81,1041.33
A,Um apparently Yeah Yeah,1032.87,1036.24
D,Alright,1035.83,1035.83
A,Yeah,1037.67,1037.67
C,Of making,1037.96,1038.13
D,Alright,1039.77,1039.77
C,Oh,1040.71,1040.71
D,Cool cool So even if it doesn't work you can jiggery pokery around and make it work Y yeah,1040.87,1044.75
A,Yeah,1041.03,1041.03
A,Yeah probably We'll probably still have to do some other file manage while I don't know creation Messing around still though Yeah,1044.22,1050.03
B,Yeah yeah,1044.58,1045.09
D,Yeah yeah All sorts of nonsense But yeah By the basics is uh oh okay that's good,1048.33,1051.98
B,Yeah Yeah,1050.61,1052.00
A,Yeah,1052.11,1052.11
C,Yeah that's handy,1053.14,1053.52
A,Yeah,1054.09,1054.09
B,Um,1054.67,1054.67
A,Um,1055.13,1055.13
B,yeah I guess that's it,1055.75,1056.67
C,So you think it shouldn't be too difficult,1056.47,1057.45
B,I don't know Uh I'm I was a bit worried about when well when he talked about this with the mm file,1060.17,1066.15
B,messing around with files I mean uh how much,1067.64,1069.80
B,do we actually need to do Like extracting things from the X_M_L_ files and stuff to be able to do the indexing,1071.06,1077.02
A,Hmm,1076.05,1076.05
C,Oh I see Yeah You have to convert it to some sort of format I suppose,1077.96,1082.17
D,Yeah,1079.62,1079.62
A,Yeah,1082.64,1082.64
D,I've been trying to g,1083.43,1084.26
D,write something to read the X_M_L_,1085.27,1086.48
D,and get rid of it And I can get rid of it but I'm having trouble putting it anywhere else,1087.55,1091.29
D,So it will come up on the screen,1092.30,1093.85
A,Huh Okay Right,1092.52,1095.50
B,Okay,1095.61,1095.61
D,For the moment I haven't managed to put it into a vector or whatever in Java to play with it But I guess it's not very difficult Yeah in Java yeah,1096.19,1103.48
B,Okay,1099.62,1099.62
A,Okay,1101.18,1101.18
B,are you writing in Java or okay,1101.45,1103.45
A,Right,1103.91,1103.91
D,Yeah,1104.75,1104.75
B,Yeah,1104.83,1104.83
B,you know bunch about file,1106.43,1107.52
C,I mean you should look at look have a look at the the browser code then because um you know they already extract for example transcripts,1106.73,1113.45
D,Yeah yeah I'm sure they do,1114.40,1115.55
C,it into a window at least,1115.29,1116.01
D,Yeah,1116.62,1116.62
A,Yeah it's good idea,1118.40,1118.75
D,Yeah Oh yeah I will,1119.40,1122.44
D,I'm sure it's nothing difficult I'm sure I'm making a meal of it at the moment actually,1124.06,1127.46
B,Um,1133.94,1133.94
B,yeah I guess I mean,1135.58,1136.33
B,it was a good point you had that like collaborating,1137.57,1140.05
B,with the file,1141.73,1142.04
A,Yeah,1142.23,1142.23
B,things I mean if you already started on on doing your stuff I guess we can,1143.12,1147.79
D,Yeah yeah Absolutely yeah,1145.72,1147.25
D,Should share as much as possible,1148.90,1149.77
B,Yeah,1150.22,1150.22
A,Mm-hmm libraries,1150.78,1151.34
D,Yeah,1152.75,1152.75
B,Yeah,1153.38,1153.38
A,Hmm,1153.54,1153.54
B,Should we I don't know,1155.19,1156.13
B,meet up and see what we could do I mean I don't know see what you've done and see what we need,1158.29,1163.79
D,Yep,1164.63,1164.63
A,Right,1164.72,1164.72
B,when we know more of what we need maybe,1164.83,1166.42
D,Next week sometime yeah I,1167.29,1168.52
A,Yeah Yeah Yeah exactly exactly So you're still working I see,1167.35,1171.77
B,Or what do we need Yeah,1167.47,1168.42
B,Yeah,1169.62,1169.62
D,actually haven't done anything this week 'cause this week's been manic But,1170.87,1173.55
A,Yes exactly same Yeah I mean betwe,1173.63,1175.78
B,Yep Yeah,1173.93,1174.63
C,What do you mean This week's only two days old,1175.26,1176.91
A,um,1177.07,1177.07
D,well whatever it was last week then,1177.47,1179.12
A,sup,1178.13,1178.13
B,Well,1178.64,1178.64
C,Oh,1178.93,1178.93
A,yeah,1179.28,1179.28
D,The the the week as it as is rather than the proper week do you know what I mean Do you know that it's been all a bit manic the last m the last yeah,1180.27,1186.40
A,Yeah Right,1180.31,1184.15
A,well you're in S_P_N_L_P_ and S_P_ two right So yeah Yeah that's where at,1186.44,1189.74
D,Yeah that's right yeah And then we had to do an I_R_P_,1188.21,1190.72
B,Yep,1188.62,1188.62
D,whatever it was last week as well Which is only a page long but it's quite difficult to write a page,1192.26,1195.62
A,Hmm Yeah Yeah oh yeah,1193.94,1197.55
C,Yeah Oh that's complete rubbish anyway mind,1196.90,1199.64
D,More diffi,1197.96,1198.21
D,it was it wasn't marked but it was I had to sit there and think about it for a bit which is a bit irritating Yeah but S_P_N_L_P_,1199.26,1204.64
C,Just so stupid,1200.83,1201.38
A,Yeah that's fun,1205.86,1206.49
D,Yeah,1207.74,1207.74
A,Oh yeah,1209.32,1209.44
B,Oh,1209.97,1209.97
A,Okay,1211.16,1211.16
B,Um,1211.82,1211.82
A,So Yeah I was thinking that we can probably get uh start attacking this seriously and then just um,1212.25,1217.49
B,Yeah we're gonna meet up,1214.16,1215.15
D,Yep,1216.04,1216.04
A,yeah hopefully have something by next week that we can sorta try integrating into the GUI,1218.56,1222.40
C,Mm-hmm,1223.09,1223.09
A,Okay,1223.58,1223.58
B,Yeah,1223.91,1223.91
A,Think that should be,1225.04,1225.46
C,Well ye the browser as I use it now or as uh you know it was there when I took it,1225.10,1231.50
B,'Cause it's now,1225.21,1225.61
C,um uses the um the N_X_T_ search to get the data out of the out the files,1232.61,1238.77
A,Okay Why,1236.97,1237.91
C,which I think is odd but I'm not quite sure how it works yet I don't quite understand it,1240.17,1243.65
D,So when it when it,1244.84,1246.16
C,To get the data i for example to get the summarisation data you have to search for I think the I_D_s or something,1247.37,1253.70
C,Yeah,1255.44,1255.44
D,That's pretty bizarre isn't it Well I guess that's how it works They've got d,1256.45,1259.38
C,Yeah,1257.54,1257.54
D,That is pretty bizarre,1261.62,1262.06
